attempt_id	path	size_bytes	sha256	max_rss_kib
p1v2_overhead_aq001_at0001_o01_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o01_profile_off/time.txt	1186	6aec2ae5343e408f47b37a291024c1d461fc407396ae645b6000555c9e9b1458	8404
p1v2_overhead_aq001_at0001_o01_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o01_profile_on/time.txt	1185	126c41e579c027906085e1cd32b41f78aeba33fab6d21a8eaeb3f8888adc663b	8468
p1v2_overhead_aq001_at0001_o02_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o02_profile_on/time.txt	1185	527776ea02c63950f7aea289f0e689ffc2755215d827d47c6db2c0f9f1ce8432	8440
p1v2_overhead_aq001_at0001_o02_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o02_profile_off/time.txt	1186	a439c0af40071bcd9e0e4a672939d4b5bc52e497d8ef1c3acf9f11a94b457529	8192
p1v2_overhead_aq001_at0001_o03_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o03_profile_off/time.txt	1185	0fe5101ff5a3c4ba1a6d21472f92e5edd720a009c11245893a44eb5de3c023f2	8400
p1v2_overhead_aq001_at0001_o03_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o03_profile_on/time.txt	1184	dd686756fb5c5f2d86a1e8a12d7286dcceadf7f121cf4f415079d41afd10ca00	8432
p1v2_overhead_aq001_at0001_o04_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o04_profile_on/time.txt	1185	2e701dd105158d5052fb094181f849f46f02a915785321d9622396a412c05dac	8500
p1v2_overhead_aq001_at0001_o04_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o04_profile_off/time.txt	1186	2eec4b4018b41212b657d683ac5205c3cc7fab8de983c1b27b08190a59a61966	8508
p1v2_overhead_aq001_at0001_o05_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o05_profile_off/time.txt	1185	46859e958fecae2afe32129c7d364870ca27f8d1f1d604ce57b8833853699fbc	8416
p1v2_overhead_aq001_at0001_o05_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_overhead_aq001_at0001_o05_profile_on/time.txt	1185	6e5cb05e29a5bc091d8611ffb9747a7fdaa4677bf1a7e8419d0a3848be885598	8236
p1v2_medium_h19_chr22_2mb_o01_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o01_profile_off/time.txt	1120	42586b2f6ec61f35ecac45678fe846b3b5892028157eefa731e7725b02b6deb3	109920
p1v2_medium_h19_chr22_2mb_o01_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o01_profile_on/time.txt	1119	0dc5cac7def66feaaf3f2e6619a71f10ad16eee860f4ca8f12587b0bc6f69b73	110012
p1v2_medium_h19_chr22_2mb_o02_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o02_profile_on/time.txt	1117	727d8020018b1c4c774ad064df3158f0decc42d74dc38f74635af1fb9a2eb53f	110008
p1v2_medium_h19_chr22_2mb_o02_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o02_profile_off/time.txt	1118	f6de0460d57bae2c2bf28cfa97a698bd134c3d8f37cfaf8a4a2f0326097a7d8f	110076
p1v2_medium_h19_chr22_2mb_o03_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o03_profile_off/time.txt	1118	ef54171fdfd27c114ce6630a99bbf98b481fef67dffdc3f729086d33f30f02f8	109744
p1v2_medium_h19_chr22_2mb_o03_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o03_profile_on/time.txt	1117	5a378c25b52ad1c23bab190bc3277759fed01caacad922be59fc4983aa32731c	110012
p1v2_medium_h19_chr22_2mb_o04_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o04_profile_on/time.txt	1117	f547c1fc1256b64911faf92baee235f979961859b67e2b0ab3413e5f24396a18	109820
p1v2_medium_h19_chr22_2mb_o04_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o04_profile_off/time.txt	1118	8f11053fb3b01f3ff84a5e69a0fdacffd3e21e54b76dbf5ef9d0d8974f0b7b4a	109916
p1v2_medium_h19_chr22_2mb_o05_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o05_profile_off/time.txt	1118	2d83b1e0f2b1f23165ad49870350f280ad6964a9e2f36539929965c41492887e	110032
p1v2_medium_h19_chr22_2mb_o05_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_medium_h19_chr22_2mb_o05_profile_on/time.txt	1117	34888abcdf1c9d0a45b8c93baa7edf2303d0df4faa909c034d0fe7e56252cff0	110080
p1v2_large_h19_chr21_o01_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o01_profile_off/time.txt	1135	07a894daab0f7909a91065838576938de87ff3534d8c282df3e585baabdf3063	3837140
p1v2_large_h19_chr21_o01_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o01_profile_on/time.txt	1134	0e06a1cdbd8052149eeca8cbe80cea9fbde84661a86f96e5907908394f2bd741	3846176
p1v2_large_h19_chr21_o02_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o02_profile_on/time.txt	1130	b330ae03e6a844529124628b67955d631cffcdf7ecb8a6af80d8d39639f1a381	3845892
p1v2_large_h19_chr21_o02_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o02_profile_off/time.txt	1132	e0fe3825c359ceb13b0db6ad88e797e8af019a868ce60e6a1c52479764bf8861	3837248
p1v2_large_h19_chr21_o03_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o03_profile_off/time.txt	1132	56e7558b3a79e046cecd342daca7bb33361987f4a33badde12eeb95eab827418	3837080
p1v2_large_h19_chr21_o03_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o03_profile_on/time.txt	1131	f9f8606527e00159b8dda4ab227f032580053cf426664b663d7bc38fa2fe175b	3846104
p1v2_large_h19_chr21_o04_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o04_profile_on/time.txt	1131	26762a00382f07a55b6fd9c5f3b04db50a91ebf32d53ad171834caaf4ea6d189	3846012
p1v2_large_h19_chr21_o04_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o04_profile_off/time.txt	1132	2c4fa5b020c2dd0557569fc84e7df52d5ca8ee8be998872468e0178cfcdb395e	3836844
p1v2_large_h19_chr21_o05_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o05_profile_off/time.txt	1132	347b274585253dc3d7d953e3573ad3b6419c1ff2c84ccbafc0bda24c363ddd38	3836920
p1v2_large_h19_chr21_o05_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr21_o05_profile_on/time.txt	1131	1de3e487066fc767ae2508fbf7a35ed9c51eed2489923ca563dcc80d4f708ed1	3846112
p1v2_large_h19_chr22_o01_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o01_profile_off/time.txt	1137	fff65ec0bec70d74e47427bb54f745b74806130f45215c352c942dd9b356a29d	3779396
p1v2_large_h19_chr22_o01_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o01_profile_on/time.txt	1135	85d8235f6bc289f2310979633acf8ffd6980e6cc2ed1ec60b910f0fb831caac1	3762212
p1v2_large_h19_chr22_o02_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o02_profile_on/time.txt	1130	18b38c8aa0311385b2591daae1805bef02d2a1b419d684ec08cf2c0c4e8362ce	3761968
p1v2_large_h19_chr22_o02_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o02_profile_off/time.txt	1132	36788ceb661666b614de8e8c3988b03b8eb8024b1b851f6c985c477db5953500	3779284
p1v2_large_h19_chr22_o03_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o03_profile_off/time.txt	1132	d7fa2df084fc02712fc8473c5efdc64124288e657dcc3930f2fb5b99654a3b61	3779336
p1v2_large_h19_chr22_o03_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o03_profile_on/time.txt	1131	9fce40bb3f95f1020bb00b6e66c4e4d712485eaa884000d3e37c5db524dc1b10	3762260
p1v2_large_h19_chr22_o04_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o04_profile_on/time.txt	1131	a25354ef2733b4308e1a6725c4d78c2a3451ff0ba9163398021d77c5cf9f2074	3762344
p1v2_large_h19_chr22_o04_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o04_profile_off/time.txt	1131	b12043765dbaf0d5136abb7aaac779bad398978870b93f78ee3561d97a89c7df	3779252
p1v2_large_h19_chr22_o05_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o05_profile_off/time.txt	1132	d2072a657d449289a9f0cd125fdb48fb9adee34c0e9b31804ac4f001967235d3	3779324
p1v2_large_h19_chr22_o05_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_large_h19_chr22_o05_profile_on/time.txt	1130	4525457480a580ac0dac4b1c00eda22b6421ec38d9dcbbc6bc0f82ac3c198e89	3762096
p1v2_application_aq005_at0199_o01_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o01_profile_off/time.txt	1189	34fbf7061f5f4fe6d39602d70eac96418767fce8245be30669977ebedd86d409	8460
p1v2_application_aq005_at0199_o01_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o01_profile_on/time.txt	1188	fc098ab4c7e9463fe3de1ef202160c7383d2ee755933d48df8ede0e0b6a2d171	8500
p1v2_application_aq005_at0199_o02_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o02_profile_on/time.txt	1188	2e9d7bff8cbc4fc0196c76912a6279a7268e6738a6d206070f3a2a1d49f7f4b2	8332
p1v2_application_aq005_at0199_o02_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o02_profile_off/time.txt	1188	b2fef8f77c1473c60c27844ddcbd9a250a590d2679a71ab1c2b88ebe96f22ddb	8404
p1v2_application_aq005_at0199_o03_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o03_profile_off/time.txt	1189	f41c256c845ae3e8fb1df0a8d1890a9a853b3ad7c352ee05a1df78b54716ed5b	8520
p1v2_application_aq005_at0199_o03_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o03_profile_on/time.txt	1187	b4b93d96624c56a13921d1b4953ff4868702c0521a8b66e1b55f9d85fe0368aa	8484
p1v2_application_aq005_at0199_o04_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o04_profile_on/time.txt	1187	632235ec8dd7a7fb7c0eaed4614dd3a0c02a0c7a6fec8e354782b68e46b23e11	8404
p1v2_application_aq005_at0199_o04_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o04_profile_off/time.txt	1188	0a5cc8e27bb2c4fd880452e4d223066dc8caca119dcce7690b341eb7e3a9c276	8460
p1v2_application_aq005_at0199_o05_profile_off	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o05_profile_off/time.txt	1189	8f6c94c1b043aa2c05d6a962b33ac4cf4c287f2680b30ccbd9e5036a509c240d	8308
p1v2_application_aq005_at0199_o05_profile_on	.paper-artifacts/ssw-cuda-v1/phase1/profile-runs-v2/p1v2_application_aq005_at0199_o05_profile_on/time.txt	1187	6d313436c78f5487b44a686b4ea38a6a393e6ff6a201e852c8afee0cb37ac010	8540
