artifact_path	size_bytes	sha256
c5_archive_h19_2mb__pair01__baseline__0/correctness.json	65	a278541fd198bfff0e1fbca1ef8e939bbc1f5b5432d8a6289fe649582d1a7f5e
c5_archive_h19_2mb__pair01__baseline__0/environment.json	25044	f6bed1b0ca84f5a056f25da8e770612a48df68bbd255f3498dc9f8fe3cc08c1a
c5_archive_h19_2mb__pair01__baseline__0/execution.json	1085	bd5b89dc30a4524f0692f9c640a337f96029c06ac72fb05e2ed2514eb3136005
c5_archive_h19_2mb__pair01__baseline__0/gpu-memory.csv	1707	00e72681b2feb017f5a7f8e9defa6f52846aa86fad455d4d58cd2810a46e0fb5
c5_archive_h19_2mb__pair01__baseline__0/inputs/query.fa	2860	18b082f717a1e6b5f076272916e14ab549142acf7443d692bc3928bdff0d0cbb
c5_archive_h19_2mb__pair01__baseline__0/output/chr22_slice_10m_12m-H19_0_2812-fasim_gasal2_chr22_slice_10m_12m-TFOsorted	1836889	2d755d3cd9a5b3375967f18576255df2e71220d63477ac06711b00d897273f07
c5_archive_h19_2mb__pair01__baseline__0/run-complete.json	461	7f708178d8faa8ea8ab41db456bf10b00b5c4809d0bfbeec80f7348550158362
c5_archive_h19_2mb__pair01__baseline__0/run-config.json	1695	890285c1a73e8243106901a860190d3ffecf02269a4ba6b839a08db985f5dc9c
c5_archive_h19_2mb__pair01__baseline__0/stderr.log	112069	2405ea27d89edba8ac459b880e39bf1aaf1487c12033a8c2b52461161e25b287
c5_archive_h19_2mb__pair01__baseline__0/stdout.log	85	d430f24e0cb47ab84dfa06dec5aa5c92ee3c7b625ab14fc02e29588a9fcb4668
c5_archive_h19_2mb__pair01__baseline__0/summary.json	126329	5aa3d468b38de7cb3c97325bfe70a1b7934a524754cad5b72e5dc9dae23f24b4
c5_archive_h19_2mb__pair01__baseline__0/time.txt	1557	b357898c9cb2dc6e330624e9e9bf1513a438e00cfacf974da28dd25a2f308ae7
