metric_id	workload_id	recomputed_value	frozen_value	absolute_difference	status	source
median_paired_speedup	c1_h19_chr21_chr22_fast_topk	38.320881591012	38.320881591012	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c1_h19_chr21_chr22_fast_topk	0.973904566949	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c4_h19_chr21_two_slot	1.143132059089	1.143132059089	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c4_h19_chr21_two_slot	0.125210432120	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c4_h19_chr22_two_slot	1.151204970412	1.151204970412	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c4_h19_chr22_two_slot	0.131344959671	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c5_archive_h19_2mb	1.324877034057	1.324877034057	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c5_archive_h19_2mb	0.245212971246	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c5_archive_large_synthetic	0.791882241736	0.791882241736	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c5_archive_large_synthetic	-0.262814023722	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c6_exact_h19_2mb	1.082711264994	1.082711264994	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c6_exact_h19_2mb	0.076392725991	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c6_exact_kcnq_segment_chr22	1.115307296835	1.115307296835	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c6_exact_kcnq_segment_chr22	0.103386122517	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	c7_kcnq_max8_chr22	1.087369488066	1.087369488066	0	match	paired_speedups.tsv
median_wall_reduction_fraction	c7_kcnq_max8_chr22	0.080349401951	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g01_malat1_5p_1024_chr11	11.924441779910	11.924441779910	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g01_malat1_5p_1024_chr11	0.916138632025	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g02_malat1_mid_2048_chr21	16.235977762376	16.235977762376	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g02_malat1_mid_2048_chr21	0.938408390635	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g03_malat1_3p_2812_chr22	17.420779318120	17.420779318120	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g03_malat1_3p_2812_chr22	0.942597286738	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g04_neat1_5p_2048_chr22	17.073502610320	17.073502610320	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g04_neat1_5p_2048_chr22	0.941429709953	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g05_neat1_mid_2812_chr11	17.721833539339	17.721833539339	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g05_neat1_mid_2812_chr11	0.943572430145	derived_independently	NA	derived	paired_speedups.tsv
median_paired_speedup	g06_neat1_3p_1024_chr21	13.877246180637	13.877246180637	0	match	paired_speedups.tsv
median_wall_reduction_fraction	g06_neat1_3p_1024_chr21	0.927939593563	derived_independently	NA	derived	paired_speedups.tsv
