artifact_path	size_bytes	sha256
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/correctness.json	65	a278541fd198bfff0e1fbca1ef8e939bbc1f5b5432d8a6289fe649582d1a7f5e
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/environment.json	25046	cb9c7a5de304e1917c691a1d46b2b55f0832066bc03d9342238fe084024e6df3
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/execution.json	1091	f20f8703c1f8b22031fa3f27de039ab6eb9c9063aac8e7c1183fe30c42505424
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/gpu-memory.csv	1065516	2bb290cea870e366e9d549bc1ff5b4ea0acad49a5dafea1dc5df38176bd07d31
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/inputs/query.fa	2860	18b082f717a1e6b5f076272916e14ab549142acf7443d692bc3928bdff0d0cbb
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/logs/shard_0000_chr21.stderr.log	99004	106a5636c9c735f2ef854607cd2aff15453f095799a064f4b114e93081c40ded
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/logs/shard_0000_chr21.stdout.log	85	b46e0ed1799d15bdba13d1d244f0a06b6885fdf26a6a4d6271dd7767154b8c23
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/logs/shard_0001_chr22.stderr.log	99004	106a5636c9c735f2ef854607cd2aff15453f095799a064f4b114e93081c40ded
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/logs/shard_0001_chr22.stdout.log	85	74732a30ee944c4d912d44cbb4c88087131b0a3de95df13edf49a4116b4c7ca3
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/report.json	112964	abaac9d5c8ce76a1cc06a4ba296d437b940e1f6d88200d42672e7b94daa366e5
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/shard_outputs/shard_0000_chr21/chr21-H19_0_2812-shard_0000_chr21-TFOsorted.lite	22938266	c97402e73859a09f50fd0353e664fe1d2a1d42e0c7b497df08eef2e65083ea0c
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/shard_outputs/shard_0001_chr22/chr22-H19_0_2812-shard_0001_chr22-TFOsorted.lite	32019276	b61c12a0b72b24b504dd64ae0c403141c781c4e3f69c5ad159cc7959bb09dad1
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/shard_plan.json	1489	fe124d4594782cab110cfac48ce5228ebf4ce5dd996919dc31ebe86bb3c2eb4a
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/shards/shard_0000_chr21.fa	47293865	9d4f98d47db5404fd1e881123e636fe841e302214af03c9514a0b7892431d571
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/shards/shard_0001_chr22.fa	51453706	fdcae3058910b126a32dd10ef9effca2bef20572a8500eda9c8aa07b61879c61
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/topk-TFOsorted.lite	1373	f14dc248af1ee92fee5e90592de3ad59ef474ce9c105c9208608208dcf1ece6d
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/topk_rows.tsv	1581	b15a96c628cdf3df41515b17132288e59128611fba406eaa5168fa5e246b5405
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/output/topk_summary.tsv	1581	b15a96c628cdf3df41515b17132288e59128611fba406eaa5168fa5e246b5405
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/run-complete.json	471	cff96ecb6be21fedfc4dd83843f9554b0a19ee56510cbcd61a6247bb65dc8e20
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/run-config.json	1846	8f4cd6f88a05ef429e1fc081bd23a88ac62b7a70f5acdbf247840f8dfbce595e
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/stderr.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/stdout.log	112964	abaac9d5c8ce76a1cc06a4ba296d437b940e1f6d88200d42672e7b94daa366e5
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/summary.json	1257	4ab9fd1859953a1287a13a28c9d0897239fd4059b7665dfbe058121a6ccc0c16
c1_h19_chr21_chr22_fast_topk__pair01__baseline__0/time.txt	1555	067501f6725f52c58317becfbd18a84b7b750a5eb8bcfc8fc9ffb01b5bf4c47e
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/correctness.json	65	a278541fd198bfff0e1fbca1ef8e939bbc1f5b5432d8a6289fe649582d1a7f5e
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/environment.json	25046	2f74e6139ca0231932031c2a026d197cd859df6cf7a0db40c2a1a5b73266b2db
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/execution.json	1140	0e38b635f4d5a5282d3fa759bf1ea3ea795358220a51d175dd05fab779694e75
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/gpu-memory.csv	29187	dfb1e8c2ed434ba1c119cbee0a09aed2123b30a8c6fd0b7c841ab0911d75deff
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/inputs/query.fa	2860	18b082f717a1e6b5f076272916e14ab549142acf7443d692bc3928bdff0d0cbb
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/logs/shard_0000_chr21.stderr.log	112138	6eee554f7a3f73b8b5342eb3be527a43dcbcb819722b0c769a021e8c21552b67
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/logs/shard_0000_chr21.stdout.log	85	c810eff8f4001e6397a239bade0c0598aacb738199b91e11263cea7baec8dcbc
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/logs/shard_0001_chr22.stderr.log	112141	7ab3c70a54917d631b5f2d99d9791aa46eac470711c30de7f720b091db46a57a
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/logs/shard_0001_chr22.stdout.log	85	e57f1b22327126fd529dfefcdc1c7c49b14b04c01da36b936f80d72c151538fc
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/report.json	127813	bc55b1b0d9d9e59665842866901415ff0d106345ffe4f50bb8118600b0c187b7
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shard_outputs/shard_0000_chr21/chr21-H19_0_2812-shard_0000_chr21-TFOsorted.lite	1291	bae2d7c089b277c433d4d14b21e168f5fa395901dd49e74f9e44d4adc4c39a33
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shard_outputs/shard_0000_chr21/chr21-H19_0_2812-shard_0000_chr21-TFOsorted.lite.topk_rank.tsv	1461	789611148031acfd565a17e54a0b59ec424e1b64a652e666e2f5433c903caa7d
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shard_outputs/shard_0001_chr22/chr22-H19_0_2812-shard_0001_chr22-TFOsorted.lite	1297	1da0e4e4a9490f5bbb5e8c8b129f8d0ed18a18c55d650519972ac11b81e1577f
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shard_outputs/shard_0001_chr22/chr22-H19_0_2812-shard_0001_chr22-TFOsorted.lite.topk_rank.tsv	1468	2f093f995ca27e367882d339ef797fc8b4c23d0705167fba7da48532426d8f4d
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shard_plan.json	1491	a6e57f7db2612199731ae4f5233c9c30d5cfd301fb5a176e6b35386665f0ef40
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shards/shard_0000_chr21.fa	47293865	9d4f98d47db5404fd1e881123e636fe841e302214af03c9514a0b7892431d571
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/shards/shard_0001_chr22.fa	51453706	fdcae3058910b126a32dd10ef9effca2bef20572a8500eda9c8aa07b61879c61
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/topk-TFOsorted.lite	1373	f14dc248af1ee92fee5e90592de3ad59ef474ce9c105c9208608208dcf1ece6d
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/topk_rows.tsv	1604	d7621f999ac93b0563c45044b87fe730cce52531e764b05fdd579ca9dcc7d96a
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/output/topk_summary.tsv	1604	d7621f999ac93b0563c45044b87fe730cce52531e764b05fdd579ca9dcc7d96a
c1_h19_chr21_chr22_fast_topk__pair01__candidate__0/run-complete.json	472	c9f67ef3b56155bfe9df49458be933b0ef1dde14d61fe1b9d7b5a1a8b080c475
