data_freeze_id	record_id	record_type	workload_id	status	excluded_from	exclusion_reason	rerun_or_replacement	evidence_path	artifact_sha256	source_phase
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk__warmup__baseline__0	run	c1_h19_chr21_chr22_fast_topk	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c1_h19_chr21_chr22_fast_topk__warmup__baseline__0/run-complete.json	62b45674cd9a5f3fd399f5943d137809d3b784ac2db9be602d87830dbf24201d	phase2
paper-data-v1-dccfd49-20260716	c1_h19_chr21_chr22_fast_topk__warmup__candidate__0	run	c1_h19_chr21_chr22_fast_topk	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c1_h19_chr21_chr22_fast_topk__warmup__candidate__0/run-complete.json	bf2b9117573a084646a9f4d4592aff9de0b9f7ce3a72f7f610f1f047bb202372	phase2
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot__warmup__baseline__0	run	c4_h19_chr21_two_slot	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c4_h19_chr21_two_slot__warmup__baseline__0/run-complete.json	b769aadc8b005b7b73a99f2818edb379a8dbaf983540641642ba909cbc536cbd	phase2
paper-data-v1-dccfd49-20260716	c4_h19_chr21_two_slot__warmup__candidate__0	run	c4_h19_chr21_two_slot	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c4_h19_chr21_two_slot__warmup__candidate__0/run-complete.json	b9d85739e42b882cd8ab0d39ed63aef614683e752f2ad37b2a144eee24900d1b	phase2
paper-data-v1-dccfd49-20260716	c4_h19_chr22_two_slot__warmup__baseline__0	run	c4_h19_chr22_two_slot	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c4_h19_chr22_two_slot__warmup__baseline__0/run-complete.json	050c923feb57d93fabd9a7d09ff2ed3958ee504a2ec8e55c5382471c5d311867	phase2
paper-data-v1-dccfd49-20260716	c4_h19_chr22_two_slot__warmup__candidate__0	run	c4_h19_chr22_two_slot	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c4_h19_chr22_two_slot__warmup__candidate__0/run-complete.json	03b6782bee4caa789d0b7407570c793210694877149efec77306df7af9c31f9f	phase2
paper-data-v1-dccfd49-20260716	c7_kcnq_max8_chr22__warmup__baseline__0	run	c7_kcnq_max8_chr22	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c7_kcnq_max8_chr22__warmup__baseline__0/run-complete.json	b52df498f9d7196f542261838ef1bb2059c74edc079b245aca0c4f0c770fd2b0	phase2
paper-data-v1-dccfd49-20260716	c7_kcnq_max8_chr22__warmup__candidate__0	run	c7_kcnq_max8_chr22	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase2:c7_kcnq_max8_chr22__warmup__candidate__0/run-complete.json	cb2d0c7fa608420f2070f5e2c155cd9bcf37830a9acdb0c0d3a492445fd040ec	phase2
paper-data-v1-dccfd49-20260716	g01_malat1_5p_1024_chr11__warmup__baseline__0	run	g01_malat1_5p_1024_chr11	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase3:g01_malat1_5p_1024_chr11__warmup__baseline__0/run-complete.json	c2323835192b30943e0650d02874a6f0c9a92799e2bcb5e031fbe00f94155f9a	phase3
paper-data-v1-dccfd49-20260716	g01_malat1_5p_1024_chr11__warmup__candidate__0	run	g01_malat1_5p_1024_chr11	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase3:g01_malat1_5p_1024_chr11__warmup__candidate__0/run-complete.json	bf0425dc03fcae6004c750ea79bf2fc539c223b7b2a6d970369e1afae3707dba	phase3
paper-data-v1-dccfd49-20260716	g02_malat1_mid_2048_chr21__warmup__baseline__0	run	g02_malat1_mid_2048_chr21	warmup	paired_performance_statistics	protocol_warmup	not_applicable	phase3:g02_malat1_mid_2048_chr21__warmup__baseline__0/run-complete.json	e24cb6eae25765b78e2c10bb4b446997781d1475f55c8d0a09ec65ce7aebe7b3	phase3
