data_freeze_id	runtime_epoch	runtime_commit	machine_id	workload_id	claim_id	role	query_id	query_length_nt	target_id	pair_id	pair_id_text	pair_order	preset_id	output_contract	baseline_wall_seconds	candidate_wall_seconds	paired_speedup	status	decision	excluded	exclusion_reason	artifact_path	artifact_sha256	source_phase
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c1_h19_chr21_chr22_fast_topk	C1	core	H19	2812	chr21_chr22_full	1	c1_h19_chr21_chr22_fast_topk__pair01__0	BA	gasal2_formal_topk_2gpu_v1	fast_topk_score_stability_nt	2377.19716166507	61.585542598040774	38.59992234185002	clean	formal_topk_contract_clean	0	NA	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair01__0/pair-summary.json	b854870bdee2490d95351d88f208b3a9702144a812acfe6ad03537802cf0fe34	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c1_h19_chr21_chr22_fast_topk	C1	core	H19	2812	chr21_chr22_full	2	c1_h19_chr21_chr22_fast_topk__pair02__0	AB	gasal2_formal_topk_2gpu_v1	fast_topk_score_stability_nt	2381.355362199014	62.33838479407132	38.20046621460575	clean	formal_topk_contract_clean	0	NA	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair02__0/pair-summary.json	71309adfec2680a7adc059049641fb0bcf8c6d9a67d93d32e76c90f27381be15	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c1_h19_chr21_chr22_fast_topk	C1	core	H19	2812	chr21_chr22_full	3	c1_h19_chr21_chr22_fast_topk__pair03__0	BA	gasal2_formal_topk_2gpu_v1	fast_topk_score_stability_nt	2369.832909382065	61.84181602799799	38.32088159101209	clean	formal_topk_contract_clean	0	NA	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair03__0/pair-summary.json	0c1a60fa7494b5f550d32a8e1e620d79212c8ec2d4b723194edec6c320578844	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c1_h19_chr21_chr22_fast_topk	C1	core	H19	2812	chr21_chr22_full	4	c1_h19_chr21_chr22_fast_topk__pair04__0	AB	gasal2_formal_topk_2gpu_v1	fast_topk_score_stability_nt	2375.284256580984	61.990312970010564	38.317023140858964	clean	formal_topk_contract_clean	0	NA	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair04__0/pair-summary.json	e0909af62569d2279de7d414daaf29719d431d0a32c602871e24639b4e9debaf	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c1_h19_chr21_chr22_fast_topk	C1	core	H19	2812	chr21_chr22_full	5	c1_h19_chr21_chr22_fast_topk__pair05__0	BA	gasal2_formal_topk_2gpu_v1	fast_topk_score_stability_nt	2380.3690671940567	61.738257682998665	38.555818653262016	clean	formal_topk_contract_clean	0	NA	phase2:pairs-v3/c1_h19_chr21_chr22_fast_topk__pair05__0/pair-summary.json	2bccc063a6f64acf0e96dfb5fb668b19bfd6a014ce67962738fc35e4606a8ea0	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c4_h19_chr21_two_slot	C4	core	H19	2812	chr21_full	1	c4_h19_chr21_two_slot__pair01__0	BA	gasal2_two_slot_low_density_v1	fast_topk_score_stability_nt	63.06610817508772	55.08355818793643	1.1449171086572891	clean	two_slot_contract_clean	0	NA	phase2:pairs-v3/c4_h19_chr21_two_slot__pair01__0/pair-summary.json	502df692b7e8b881736527d33d19f3c485eb4f281bbf591e0513816f87aef544	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c4_h19_chr21_two_slot	C4	core	H19	2812	chr21_full	2	c4_h19_chr21_two_slot__pair02__0	AB	gasal2_two_slot_low_density_v1	fast_topk_score_stability_nt	63.092179585946724	54.499607207020745	1.1576630148229594	clean	two_slot_contract_clean	0	NA	phase2:pairs-v3/c4_h19_chr21_two_slot__pair02__0/pair-summary.json	475c404a8c538a98e4bb3e71aceb7434c002151bff21a37a37c091edd0d6bce1	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c4_h19_chr21_two_slot	C4	core	H19	2812	chr21_full	3	c4_h19_chr21_two_slot__pair03__0	BA	gasal2_two_slot_low_density_v1	fast_topk_score_stability_nt	63.0003400669666	55.22253398702014	1.1408447877776597	clean	two_slot_contract_clean	0	NA	phase2:pairs-v3/c4_h19_chr21_two_slot__pair03__0/pair-summary.json	0a77bcfa21abbeded12c7c58081e6f175aeaa409c6069be827ba498efca25a01	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c4_h19_chr21_two_slot	C4	core	H19	2812	chr21_full	4	c4_h19_chr21_two_slot__pair04__0	AB	gasal2_two_slot_low_density_v1	fast_topk_score_stability_nt	62.98732413502876	55.1006540620001	1.143132059088708	clean	two_slot_contract_clean	0	NA	phase2:pairs-v3/c4_h19_chr21_two_slot__pair04__0/pair-summary.json	94e5a5aebdd90de656c6ff267577e8cdba8a074cef50e964f8c486e1b75419d9	phase2
paper-data-v1-dccfd49-20260716	0	0d11aa2d61b7ccda59b462ab8e0750dad17ee18f	machine-aab56167c157	c4_h19_chr21_two_slot	C4	core	H19	2812	chr21_full	5	c4_h19_chr21_two_slot__pair05__0	BA	gasal2_two_slot_low_density_v1	fast_topk_score_stability_nt	62.89874048496131	55.0315666149836	1.1429574761158205	clean	two_slot_contract_clean	0	NA	phase2:pairs-v3/c4_h19_chr21_two_slot__pair05__0/pair-summary.json	66ee7431dc59042af3f972abb0d206614d457a9efe6a9c9e2c423a52a5112177	phase2
